SEXO,ESTADO,SEM_CURSADOS,CREDITOS,APROBO,PONDERADO,BECA_VIGENTE,ESTADO_CIVIL_D,ESTADO_CIVIL_S,FFH,COLEGIO_PRIVADO,CRED_X_SEM,HRS_FALTA_RATIO,EDAD,IDH,POR_POBREZA,POR_POBREZA_EXTREMA,Tasa_Analfabetismo,Tasa_Desempleo2019
1,1,13,235,73,13.7833,0,0,1,True,False,18.0,0.11,23.0,0.6668,4.7,0.8,3.1,3.4
0,-1,1,22,3,10.5209,0,0,1,False,True,22.0,0.09,16.0,0.7622,0.7,0.0,3.1,3.4
0,1,10,217,72,16.3943,0,0,1,False,True,22.0,0.02,22.0,0.7622,0.7,0.0,3.1,3.4
0,-1,3,66,10,4.3432,0,0,1,False,True,22.0,0.26,18.0,0.7622,0.7,0.0,3.1,3.4
1,-1,5,90,18,4.7243,0,0,1,False,False,18.0,0.24,18.0,0.7622,0.7,0.0,3.1,3.4
1,1,16,265,72,13.4529,0,0,1,False,True,17.0,0.12,22.0,0.7622,0.7,0.0,3.1,3.4
0,1,13,217,72,15.2725,0,0,1,False,True,17.0,0.06,22.0,0.7622,0.7,0.0,3.1,3.4
0,-1,7,140,37,12.441,0,0,1,True,True,20.0,0.13,20.0,0.7622,0.7,0.0,3.1,3.4
0,1,20,287,72,12.6,0,0,1,False,True,14.0,0.08,23.0,0.7622,0.7,0.0,3.1,3.4
1,1,17,265,72,13.4,0,0,1,True,True,16.0,0.1,21.0,0.7622,0.7,0.0,3.1,3.4
0,1,11,220,72,14.8329,0,0,1,False,True,20.0,0.09,21.0,0.7622,0.7,0.0,3.1,3.4
0,-1,21,282,60,7.7,0,0,1,False,True,13.0,0.2,27.0,0.7653,0.3,0.1,3.1,3.4
0,1,12,217,72,16.2,0,0,1,False,True,18.0,0.09,21.0,0.7622,0.7,0.0,3.1,3.4
1,1,12,186,58,16.46,0,0,1,False,True,16.0,0.04,23.0,0.7622,0.7,0.0,3.1,3.4
1,1,11,219,72,15.7914,0,0,1,False,True,20.0,0.03,22.0,0.7622,0.7,0.0,3.1,3.4
